tempreature/J                              E                                     Cv                                    m                                  chi
5.825000000000e+00                    -7.221557635764e-01                    1.324149129677e-01                    1.228726972697e-01                    9.182310288094e-06                    
5.850000000000e+00                    -7.191921152115e-01                    1.312181100751e-01                    1.224353525353e-01                    9.168624593078e-06                    
5.875000000000e+00                    -7.143861386139e-01                    1.288643025540e-01                    1.223397929793e-01                    8.913919049059e-06                    
5.900000000000e+00                    -7.098992739274e-01                    1.285055528216e-01                    1.219960126013e-01                    8.994056271422e-06                    
5.925000000000e+00                    -7.075214521452e-01                    1.271576156538e-01                    1.216620822082e-01                    8.909320330370e-06                    
5.950000000000e+00                    -7.069023222322e-01                    1.265848981039e-01                    1.213114371437e-01                    8.873240922743e-06                    
5.975000000000e+00                    -7.015805100510e-01                    1.253105575867e-01                    1.214817851785e-01                    8.805152381844e-06                    
6.000000000000e+00                    -6.988693429343e-01                    1.226702453008e-01                    1.207001110111e-01                    8.661261526333e-06                    
6.025000000000e+00                    -6.940447764776e-01                    1.228133571880e-01                    1.207949204920e-01                    8.559840121289e-06                    
6.050000000000e+00                    -6.909718571857e-01                    1.211569451485e-01                    1.201852025203e-01                    8.463382040311e-06                    
6.075000000000e+00                    -6.884769516952e-01                    1.206784860518e-01                    1.199774287429e-01                    8.456538430410e-06                    
6.100000000000e+00                    -6.865802220222e-01                    1.194592446471e-01                    1.198997119712e-01                    8.336499538062e-06                    
6.125000000000e+00                    -6.843164836484e-01                    1.182648572701e-01                    1.195345754575e-01                    8.336017664898e-06                    
6.150000000000e+00                    -6.803716411641e-01                    1.176771389576e-01                    1.196468106811e-01                    8.279665520034e-06                    
6.175000000000e+00                    -6.769052265227e-01                    1.155062095365e-01                    1.194870717072e-01                    8.260898885247e-06                    
6.200000000000e+00                    -6.744879207921e-01                    1.151824520351e-01                    1.190927212721e-01                    8.136236184491e-06                    
6.225000000000e+00                    -6.719978157816e-01                    1.143691467167e-01                    1.186092469247e-01                    8.080292045052e-06                    
